Symbol: QQQ,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
12/29/00,52.08,52.6469,49.0683,49.3897,58145129
1/2/01,49.542,49.652,44.3645,45.2105,73893310
1/3/01,44.153,55.2018,44.1276,52.8245,139686889
1/4/01,52.1393,53.8313,50.9549,51.8685,69107720
1/5/01,51.8685,51.8685,47.3763,47.9092,81302230
1/8/01,47.6385,48.6453,45.2782,48.4338,65692855
1/9/01,48.8568,50.0243,47.9092,48.4338,63024316
1/10/01,47.4862,51.0818,47.1648,50.921,87775324
1/11/01,50.1427,53.882,50.075,52.4015,77365689
1/12/01,53.0868,54.6688,52.0293,53.0699,71859966
1/16/01,52.926,53.2306,51.234,52.4354,38065136
1/17/01,54.5673,55.5064,53.4167,54.0428,72563162
1/18/01,54.2458,56.4708,53.036,56.3101,64934236
1/19/01,57.6468,57.7906,55.4641,56.0986,66539192
1/22/01,55.7263,56.6823,54.7788,56.1493,42289507
1/23/01,55.7602,57.8752,55.2526,57.3337,58935288
1/24/01,57.5791,58.4758,56.4708,56.7838,63717658
1/25/01,56.5723,57.2491,54.4742,54.5673,67555068
1/26/01,53.7721,55.7855,53.2983,55.4556,53996635
1/29/01,54.7788,56.8938,54.3558,56.6823,37250512
1/30/01,56.8092,57.3083,55.8363,56.4708,50164392
1/31/01,56.8938,57.5199,54.3981,54.3981,70120418
2/1/01,54.6096,55.5064,53.8059,55.1172,53359757
2/2/01,54.9395,55.2441,50.7603,52.0716,56111969
2/5/01,51.767,52.3677,50.8618,52.0293,42572211
2/6/01,52.0208,53.3998,51.7416,52.1139,50138837
2/7/01,51.1917,51.7755,49.559,51.2679,73252761
2/8/01,51.5217,52.0293,49.559,49.7366,57055848
2/9/01,49.2798,49.5759,47.3763,47.7147,65466730
2/12/01,47.5878,49.0175,47.0548,48.2899,59740152
2/13/01,48.7722,50.0665,46.5133,46.7418,69637853
2/14/01,46.8687,48.8568,45.7858,48.603,74524599
2/15/01,49.7451,51.1748,49.3221,49.4067,80142890
2/16/01,47.3424,48.1123,46.1326,46.6402,78935442
2/20/01,47.1563,47.2409,44.246,44.8298,65364161
2/21/01,43.6115,45.7435,43.0785,43.5692,85518522
2/22/01,43.5269,44.1276,41.3612,43.1462,122760080
2/23/01,42.3764,43.6538,40.8028,43.2985,110327926
2/26/01,44.0599,44.4998,42.5117,44.1191,92603253
2/27/01,43.6031,44.0599,41.3696,41.4542,78890519
2/28/01,41.8349,42.4779,39.6438,40.1429,120788889
3/1/01,39.7368,41.6234,38.7047,41.285,120298471
3/2/01,39.9314,41.9872,38.6201,39.5084,113388436
3/5/01,40.1852,40.9128,39.8384,40.2275,51877282
3/6/01,41.708,42.8586,41.5388,41.7926,71901077
3/7/01,42.6386,42.664,41.4288,41.8095,65266260
3/8/01,41.7503,42.1395,40.6928,41.0312,57878203
3/9/01,39.9737,40.0752,38.0279,38.1548,94551388
3/12/01,37.2242,38.0279,35.363,35.786,95358807
3/13/01,36.1921,37.8502,35.6422,37.6049,94590987
3/14/01,36.1244,38.2309,35.7945,37.0127,114881177
3/15/01,38.2394,38.3325,35.5745,35.6591,87630129
3/16/01,35.4307,36.209,34.3139,34.8554,91943325
3/19/01,35.0584,36.5982,34.4747,36.5982,62940713
3/20/01,36.7504,37.0635,34.0094,34.1363,123871851
3/21/01,34.2801,35.363,33.5948,34.1363,113711749
3/22/01,34.3478,36.209,33.4087,36.209,153909430
3/23/01,36.8435,37.0804,35.1092,36.209,112620537
3/26/01,36.7758,36.8012,35.1515,35.3715,68162899
3/27/01,35.363,36.9873,35.0415,36.5897,82677206
3/28/01,35.4476,35.7014,33.5695,33.5864,92036691
3/29/01,33.3157,34.3562,32.4866,32.9519,94153925
3/30/01,33.248,33.8233,32.1482,33.1211,75249308
4/2/01,33.138,33.7133,31.556,31.6406,82403267
4/3/01,31.4714,31.9367,29.2887,29.3225,105218998
4/4/01,29.3648,30.2954,28.4258,28.8065,90394053
4/5/01,30.4562,32.1143,30.2108,31.5644,102878741
4/6/01,31.2176,31.3868,30.0332,30.4139,101800272
4/9/01,31.1245,31.6321,30.3293,31.3445,61038263
4/10/01,32.0636,34.2293,31.9621,33.671,111423807
4/11/01,35.6676,35.9552,34.2209,34.6862,109726914
4/12/01,34.094,36.209,33.8402,36.209,94008349
4/16/01,35.4814,35.896,33.8909,34.0517,77103326
4/17/01,33.7979,36.1244,33.7556,34.8977,111931159
4/18/01,36.9873,40.6082,36.5474,38.5355,152353108
4/19/01,39.0008,41.2427,38.5609,40.862,130575714
4/20/01,40.7605,41.8265,36.4205,40.9466,95269150
4/23/01,39.7538,40.3713,37.9771,38.1971,93755540
4/24/01,38.1548,39.2715,37.0127,37.478,105068353
4/25/01,37.1396,38.5609,36.4628,38.1548,80872382
4/26/01,38.8316,39.1277,37.1142,37.1819,84054158
4/27/01,38.1971,38.4678,37.4272,38.1971,65697057
4/30/01,39.1277,40.2444,38.324,39.0431,87303464
5/1/01,39.0854,40.6759,38.4086,40.6505,64418472
5/2/01,41.285,41.7926,40.1852,41.4373,91685673
5/3/01,40.5236,40.5236,39.0854,39.593,79343450
5/4/01,38.324,40.7774,38.1633,40.7774,85901943
5/7/01,40.6082,41.1158,39.8468,39.9314,53855049
5/8/01,40.862,40.9043,39.7538,40.7774,67340923
5/9/01,39.8045,40.5659,39.2884,39.3815,72085449
5/10/01,40.5405,40.6505,38.6793,38.7216,72257702
5/11/01,38.7809,39.2715,38.1463,38.5355,57636109
5/14/01,38.324,38.3748,36.6743,37.9179,50954842
5/15/01,37.9856,39.17,37.7149,38.1971,81568841
5/16/01,37.4865,40.2021,37.275,39.8891,94692790
5/17/01,40.1429,41.2766,39.9822,40.5236,87246263
5/18/01,40.3037,40.9297,39.8384,40.6421,48575456
5/21/01,40.752,43.2731,40.3121,43.1885,100976949
5/22/01,43.4085,43.9499,42.4525,43.0616,91292611
5/23/01,42.6725,42.6809,41.1497,41.1581,77562275
5/24/01,41.4288,42.2918,40.8366,42.2156,73040435
5/25/01,42.2664,42.3171,40.6251,41.4458,42778811
5/29/01,41.0312,41.0312,39.0008,39.0177,78734383
5/30/01,38.434,38.7893,37.2919,37.588,96213852
5/31/01,37.681,38.7893,37.478,37.8418,80399414
6/1/01,38.527,39.1108,37.5034,38.9585,73137094
6/4/01,39.1954,39.4746,38.3155,38.7724,49285774
6/5/01,39.17,40.9128,39.0854,40.4813,80550898
6/6/01,40.6759,41.3612,39.8214,40.1683,72303978
6/7/01,39.8722,41.8688,39.8214,41.2004,77304822
6/8/01,41.2173,41.2596,39.7199,40.0583,66656167
6/11/01,39.6776,39.7622,38.4848,38.9585,57694029
6/12/01,37.9602,39.593,37.4188,38.747,92730599
6/13/01,39.1446,39.5507,37.6641,37.6895,81010684
